GEO_ID,NAME,S1501_C01_001E
36001,"Albany County, New York",45323
36003,"Allegany County, New York",7107
36005,"Bronx County, New York",142886
36007,"Broome County, New York",28095
36009,"Cattaraugus County, New York",6977
36011,"Cayuga County, New York",5875
36013,"Chautauqua County, New York",12169
36015,"Chemung County, New York",6755
36017,"Chenango County, New York",3482
36019,"Clinton County, New York",10444
36021,"Columbia County, New York",3999
36023,"Cortland County, New York",8462
36025,"Delaware County, New York",4218
36027,"Dutchess County, New York",31335
36029,"Erie County, New York",85922
36031,"Essex County, New York",2522
36033,"Franklin County, New York",4406
36035,"Fulton County, New York",3852
36037,"Genesee County, New York",4553
36039,"Greene County, New York",4010
36041,"Hamilton County, New York",374
36043,"Herkimer County, New York",5018
36045,"Jefferson County, New York",14294
36047,"Kings County, New York",213570
36049,"Lewis County, New York",1925
36051,"Livingston County, New York",9131
36053,"Madison County, New York",8886
36055,"Monroe County, New York",73842
36057,"Montgomery County, New York",3821
36059,"Nassau County, New York",119227
36061,"New York County, New York",146549
36063,"Niagara County, New York",17249
36065,"Oneida County, New York",21755
36067,"Onondaga County, New York",47869
36069,"Ontario County, New York",10005
36071,"Orange County, New York",41169
36073,"Orleans County, New York",3069
36075,"Oswego County, New York",12753
36077,"Otsego County, New York",9844
36079,"Putnam County, New York",8026
36081,"Queens County, New York",178495
36083,"Rensselaer County, New York",15937
36085,"Richmond County, New York",40471
36087,"Rockland County, New York",30459
36089,"St. Lawrence County, New York",14810
36091,"Saratoga County, New York",18822
36093,"Schenectady County, New York",13950
36095,"Schoharie County, New York",3101
36097,"Schuyler County, New York",1189
36099,"Seneca County, New York",2581
36101,"Steuben County, New York",6938
36103,"Suffolk County, New York",135922
36105,"Sullivan County, New York",6201
36107,"Tioga County, New York",3686
36109,"Tompkins County, New York",28299
36111,"Ulster County, New York",16282
36113,"Warren County, New York",4466
36115,"Washington County, New York",4805
36117,"Wayne County, New York",6710
36119,"Westchester County, New York",86844
36121,"Wyoming County, New York",2918
36123,"Yates County, New York",2615
