GEO_ID,NAME,H1_001N
36001,"Albany County, New York",146131
36003,"Allegany County, New York",23454
36005,"Bronx County, New York",547030
36007,"Broome County, New York",92569
36009,"Cattaraugus County, New York",40152
36011,"Cayuga County, New York",36660
36013,"Chautauqua County, New York",66247
36015,"Chemung County, New York",38985
36017,"Chenango County, New York",24210
36019,"Clinton County, New York",37315
36021,"Columbia County, New York",33226
36023,"Cortland County, New York",20814
36025,"Delaware County, New York",29953
36027,"Dutchess County, New York",122009
36029,"Erie County, New York",438747
36031,"Essex County, New York",25123
36033,"Franklin County, New York",25318
36035,"Fulton County, New York",28087
36037,"Genesee County, New York",26013
36039,"Greene County, New York",28926
36041,"Hamilton County, New York",7826
36043,"Herkimer County, New York",32335
36045,"Jefferson County, New York",61604
36047,"Kings County, New York",1077654
36049,"Lewis County, New York",15464
36051,"Livingston County, New York",27113
36053,"Madison County, New York",30551
36055,"Monroe County, New York",336262
36057,"Montgomery County, New York",22857
36059,"Nassau County, New York",476732
36061,"New York County, New York",913926
36063,"Niagara County, New York",100156
36065,"Oneida County, New York",104919
36067,"Onondaga County, New York",211343
36069,"Ontario County, New York",52585
36071,"Orange County, New York",146879
36073,"Orleans County, New York",18209
36075,"Oswego County, New York",54470
36077,"Otsego County, New York",29838
36079,"Putnam County, New York",38308
36081,"Queens County, New York",896333
36083,"Rensselaer County, New York",74197
36085,"Richmond County, New York",183692
36087,"Rockland County, New York",108068
36089,"St. Lawrence County, New York",51612
36091,"Saratoga County, New York",109919
36093,"Schenectady County, New York",70794
36095,"Schoharie County, New York",16449
36097,"Schuyler County, New York",9621
36099,"Seneca County, New York",16096
36101,"Steuben County, New York",47327
36103,"Suffolk County, New York",578940
36105,"Sullivan County, New York",49125
36107,"Tioga County, New York",21787
36109,"Tompkins County, New York",46884
36111,"Ulster County, New York",85853
36113,"Warren County, New York",39928
36115,"Washington County, New York",28998
36117,"Wayne County, New York",42257
36119,"Westchester County, New York",388963
36121,"Wyoming County, New York",18186
36123,"Yates County, New York",13037
