GEO_ID,NAME,P1_004N
36001,"Albany County, New York",43206
36003,"Allegany County, New York",829
36005,"Bronx County, New York",487118
36007,"Broome County, New York",12684
36009,"Cattaraugus County, New York",1043
36011,"Cayuga County, New York",2910
36013,"Chautauqua County, New York",3354
36015,"Chemung County, New York",5315
36017,"Chenango County, New York",357
36019,"Clinton County, New York",3060
36021,"Columbia County, New York",2557
36023,"Cortland County, New York",895
36025,"Delaware County, New York",1072
36027,"Dutchess County, New York",32289
36029,"Erie County, New York",134795
36031,"Essex County, New York",676
36033,"Franklin County, New York",1848
36035,"Fulton County, New York",1068
36037,"Genesee County, New York",1441
36039,"Greene County, New York",2370
36041,"Hamilton County, New York",31
36043,"Herkimer County, New York",759
36045,"Jefferson County, New York",6707
36047,"Kings County, New York",772050
36049,"Lewis County, New York",109
36051,"Livingston County, New York",1191
36053,"Madison County, New York",1120
36055,"Monroe County, New York",118879
36057,"Montgomery County, New York",1267
36059,"Nassau County, New York",153274
36061,"New York County, New York",229361
36063,"Niagara County, New York",16740
36065,"Oneida County, New York",16184
36067,"Onondaga County, New York",56947
36069,"Ontario County, New York",2662
36071,"Orange County, New York",45543
36073,"Orleans County, New York",1951
36075,"Oswego County, New York",1584
36077,"Otsego County, New York",1286
36079,"Putnam County, New York",2828
36081,"Queens County, New York",403077
36083,"Rensselaer County, New York",12872
36085,"Richmond County, New York",52039
36087,"Rockland County, New York",35542
36089,"St. Lawrence County, New York",3074
36091,"Saratoga County, New York",4047
36093,"Schenectady County, New York",17322
36095,"Schoharie County, New York",305
36097,"Schuyler County, New York",101
36099,"Seneca County, New York",1414
36101,"Steuben County, New York",1469
36103,"Suffolk County, New York",114294
36105,"Sullivan County, New York",6814
36107,"Tioga County, New York",452
36109,"Tompkins County, New York",4597
36111,"Ulster County, New York",11063
36113,"Warren County, New York",799
36115,"Washington County, New York",1715
36117,"Wayne County, New York",2562
36119,"Westchester County, New York",141094
36121,"Wyoming County, New York",1999
36123,"Yates County, New York",161
